name,count,Средний доход(руб),Площадь(км2),Безработица(%),Население(чел.)
Адыгея респ.,1,22415,7792,8.2,453376
Алтай респ.,2,18179,92903,12.5,218063
Алтайский кр.,3,21008,167996,6.3,2350080
Амурская обл.,4,29704,361908,5.7,798424
Архангельская обл.,5,30922,413103,6.4,1111031
Астраханская обл.,6,24014,49024,7.7,1017514
Башкортостан респ.,7,27815,142947,4.6,4063293
Белгородская обл.,8,27907,27134,3.9,1549876
Брянская обл.,9,25083,34857,3.2,1210982
Бурятия респ.,10,25345,351334,9.5,984511
Владимирская обл.,11,23080,29084,5,1378337
Волгоградская обл.,12,22000,112877,5.7,2521276
Вологодская обл.,13,25668,144527,5.2,1176689
Воронежская обл.,14,30141,52216,4,2333768
Дагестан респ.,15,26809,50270,12.7,3063885
Еврейская а.о.,16,24118,36271,6.2,162014
Забайкальский кр.,17,23026,431892,10,1072806
Ивановская обл.,18,22494,21437,3.9,1014646
Ингушетия респ.,19,13337,3628,26.3,488043
Иркутская обл.,20,22203,774846,8,2404195
Кабардино-Балкарская респ.,21,18766,12470,10.8,865828
Калининградская обл.,22,25043,15125,4.7,994599
Калмыкия респ.,23,14234,74731,7.8,275413
Калужская обл.,24,26695,29777,3.7,1012156
Камчатский кр.,25,39494,464275,4.8,315557
Карачаево-Черкесская респ.,26,17913,14277,13.2,466305
Карелия респ.,27,25713,180520,8.5,622484
Кемеровская обл.,28,21553,95725,6.1,2694877
Кировская обл.,29,22422,120374,4.9,1283238
Коми респ.,30,33313,416774,7,840873
Костромская обл.,31,22385,60211,4.1,643324
Краснодарский кр.,32,31376,75485,4.9,5603420
Красноярский кр.,33,26854,2366797,5.2,2876497
Курганская обл.,34,20140,71488,8.1,845537
Курская обл.,35,25781,29997,4.1,1115237
Ленинградская обл.,36,26231,83908,4,1813816
Липецкая обл.,37,27630,24047,3.8,1150201
Магаданская обл.,38,48734,462464,4.8,144091
Марий Эл респ.,39,17693,23375,5.6,682333
Мордовия респ.,40,17456,26128,4.4,805056
Москва,41,59567,2561,1.2,12506468
Московская обл.,42,38396,44329,2.6,7503385
Мурманская обл.,43,35952,144902,8,753557
Крым респ.,44,71072,176810,7.9,43997
Нижегородская обл.,45,30850,76624,4.2,3234752
Новгородская обл.,46,25642,54501,4.5,606476
Новосибирская обл.,47,23794,177756,6.2,2788849
Омская обл.,48,25771,141140,6.8,1960081
Оренбургская обл.,49,23205,123702,4.9,1977720
Орловская обл.,50,22819,24652,4.7,747247
Пензенская обл.,51,21104,43352,4.4,1331655
Пермский кр.,52,32692,160236,5.4,2623122
Приморский кр.,53,34081,164673,6.2,1913037
Псковская обл.,54,21178,55399,5.3,636546
Республика Крым,55,21170,26081,5.7,1913731
Ростовская обл.,56,26480,100967,5,4220452
Рязанская обл.,57,24074,39605,3.7,1121474
Самарская обл.,58,26917,53565,3.7,3193514
Санкт-Петербург,59,39845,1403,1.5,5351935
Саратовская обл.,60,20130,101240,4.8,2462950
Саха (Якутия) респ.,61,37857,3083523,7.5,964330
Сахалинская обл.,62,48853,87101,5.1,490181
Свердловская обл.,63,34696,194307,4.7,4325256
Севастополь,64,21170,864,4.6,436670
Северная Осетия-Алания респ.,65,21889,7987,9.6,701765
Смоленская обл.,66,24068,49779,4.7,949348
Ставропольский кр.,67,22675,66160,4.8,2800674
Тамбовская обл.,68,25078,34462,3.9,1033552
Татарстан респ.,69,31391,67847,3.4,3894284
Тверская обл.,70,23579,84201,4.1,1283873
Томская обл.,71,23787,314391,5.2,1078280
Тульская обл.,72,26426,25679,4.1,1491855
Тыва респ.,73,15094,168604,12.9,321722
Тюменская обл.,74,41117,160122,3.1,1498779
Удмуртская респ.,75,24931,42061,4.7,1513044
Ульяновская обл.,76,22770,37181,3.5,1246618
Хабаровский кр.,77,37677,787633,3.8,1328302
Хакасия респ.,78,20649,61569,6.5,537513
Ненецкий а.о.,79,44520,534801,2.5,1655074
Челябинская обл.,80,24464,88529,5.5,3493036
Чеченская респ.,81,22457,15647,13.2,1436981
Чувашская респ.,82,18508,18343,4.9,1231117
Ханты-Мансийский а.о. — Югра,83,57333,721481,2.4,49348
Ямало-Ненецкий а.о.,84,63036,769250,2.2,538547
Ярославская обл.,85,27006,36177,6,1265684
